neuronios,lr,f1,acc,prec,rec,epocas_convergencia,tempo_total
64,0.01,0.8211204013713365,0.9445833333333333,0.8905309521236541,0.7625000000000001,300.0,67.25404500961304
32,0.01,0.806847461203166,0.9408333333333333,0.8878323032111396,0.74,300.0,65.3560733795166
10,0.01,0.7975700269589924,0.9395833333333332,0.8994169652278206,0.7175,300.0,68.43312168121338
64,0.005,0.7574527052485192,0.9275,0.8557096398289235,0.6799999999999999,300.0,66.86614942550659
32,0.005,0.752876082062859,0.9262500000000001,0.852187369186211,0.675,300.0,68.277272939682
10,0.005,0.7494507776911876,0.9275,0.8814230310002527,0.6525,300.0,65.17513704299927
64,0.001,0.5615327965526083,0.8929166666666667,0.8845029239766082,0.4125,300.0,66.74607014656067
32,0.001,0.5447370171424877,0.8904166666666665,0.8832274947145129,0.395,300.0,71.12348246574402
10,0.001,0.41346714866930495,0.8729166666666666,0.893294733939895,0.2725,300.0,64.55350041389465
