neuronios,taxa_aprendizado,f1,acc,prec,rec,epocas_convergencia,tempo_total
10,0.05,0.8945597004888528,0.9666666666666666,0.9413829628771453,0.8524999999999998,94.4,22.337728261947632
64,0.05,0.8896396465316208,0.9654166666666667,0.9469690065813449,0.8400000000000001,87.8,21.830030918121338
128,0.1,0.8888974353320703,0.9650000000000001,0.9398361895730316,0.8450000000000001,69.0,17.59272027015686
64,0.1,0.8872567595876777,0.9645833333333333,0.9447546362835034,0.8375,73.8,18.354791164398193
128,0.05,0.8799342086699911,0.9629166666666666,0.9534693551333577,0.8175000000000001,83.0,21.48289203643799
10,0.1,0.8794755663970955,0.9629166666666666,0.9600742632802447,0.8125,58.2,13.993202209472656
128,0.001,0.8322248725769292,0.9479166666666667,0.8999619320228603,0.775,300.0,75.52930331230164
64,0.001,0.8175481001059384,0.94375,0.889639154285198,0.7575000000000001,300.0,73.56145858764648
10,0.001,0.7792933460545377,0.9341666666666667,0.8806701222118842,0.7,300.0,71.96939659118652
