neuronios,lr,f1,acc,prec,rec,epocas_convergencia,tempo_total
64,0.1,0.8904794682828239,0.9658333333333333,0.9522216514459665,0.8375,220.4,49.08003544807434
10,0.1,0.889875683666744,0.9658333333333333,0.9565406567104994,0.8325000000000001,229.6,49.70825147628784
32,0.1,0.8891147902869758,0.9654166666666667,0.9518796511948402,0.835,205.2,45.119728326797485
32,0.05,0.8818944427246972,0.9633333333333333,0.9484540576794098,0.825,284.4,62.154555797576904
64,0.05,0.8765441464542197,0.9616666666666666,0.9427028839704896,0.82,258.2,58.10351777076721
10,0.05,0.8708360749109227,0.9604166666666666,0.9503413661851757,0.805,268.2,58.88023638725281
64,0.03,0.8650548595024865,0.9583333333333333,0.9396948971448544,0.8025,281.0,63.31753635406494
32,0.03,0.8638276373496211,0.9579166666666665,0.9364521623939324,0.8025,300.0,65.74507665634155
10,0.03,0.8600883467522727,0.9575000000000001,0.9492230982957311,0.7875,293.0,64.13522410392761
