neuronios,taxa_aprendizado,f1,acc,prec,rec,epocas_convergencia,tempo_total
32,0.03,0.8956988629827766,0.9674999999999999,0.9548678739101275,0.845,132.2,32.08220148086548
10,0.05,0.8942020071431835,0.9666666666666666,0.9442176825243467,0.85,106.4,24.329675912857056
10,0.03,0.8917927968792526,0.9662499999999999,0.9572794341808427,0.835,124.4,30.012274503707886
64,0.1,0.8894832367269789,0.9658333333333335,0.9598116106708972,0.8300000000000001,72.8,17.26455330848694
32,0.05,0.8893940802973059,0.9654166666666667,0.9530344272844273,0.835,106.6,25.086806774139404
64,0.05,0.8887692567249271,0.9650000000000001,0.9422066803059954,0.8425,81.8,19.318554878234863
64,0.03,0.8877469760549939,0.9650000000000001,0.9488260105984943,0.835,107.6,25.4329617023468
10,0.1,0.88522124410984,0.9641666666666666,0.946109477377083,0.8325000000000001,62.0,14.822547912597656
32,0.1,0.8834363684565026,0.9641666666666666,0.9651033166889944,0.8150000000000001,59.6,13.852890253067017
